A.gif,A
B.gif,B
C.gif,C
D.gif,D
E.gif,E
F.gif,F
G.gif,G
H.gif,H
I.gif,I
J.gif,J
K.gif,K
L.gif,L
M.gif,M
N.gif,N
O.gif,O
P.gif,P
Q.gif,Q
R.gif,R
S.gif,S
T.gif,T
U.gif,U
V.gif,V
W.gif,W
X.gif,X
Y.gif,Y
Z.gif,Z
a_lower.gif,a
b_lower.gif,b
c_lower.gif,c
d_lower.gif,d
e_lower.gif,e
f_lower.gif,f
g_lower.gif,g
h_lower.gif,h
i_lower.gif,i
j_lower.gif,j
k_lower.gif,k
l_lower.gif,l
m_lower.gif,m
n_lower.gif,n
o_lower.gif,o
p_lower.gif,p
q_lower.gif,q
r_lower.gif,r
s_lower.gif,s
t_lower.gif,t
u_lower.gif,u
v_lower.gif,v
w_lower.gif,w
x_lower.gif,x
y_lower.gif,y
z_lower.gif,z
exclamation_mark.gif,!
ampersat.gif,@
sharp.gif,#
dollar.gif,$
percent.gif,%
caret.gif,^
ampersand.gif,&
asterisk.gif,*
open_parenthesis.gif,(
close_parenthesis.gif,)
underscore.gif,_
plus.gif,+
equal.gif,=
minus.gif,-
open_bracket.gif,[
close_bracket.gif,]
backslash.gif,\
semicolon.gif,;
apostrophe.gif,
comma.gif,","
dot.gif,.
forward_slash.gif,/
question_mark.gif,?
greater_than.gif,>
less_than.gif,<
colon.gif,:
quote.gif,
open_brace.gif,{
close_brace.gif,}
pipe.gif,|
tilde.gif,~
acute.gif,`
degree.gif,Á
pounds.gif,£
euro.gif,ó
cent_sign.gif,¢
chinese_yuan.gif,«
micro.gif,_
1.gif,1
2.gif,2
3.gif,3
4.gif,4
5.gif,5
6.gif,6
7.gif,7
8.gif,8
9.gif,9
0.gif,0
